-5986,63,5374
-5986,63,5378
-5984,63,5376
-5982,63,5374
-5982,63,5378
-5986,64,5374
-5986,64,5378
-5984,64,5376
-5982,64,5374
-5982,64,5378
-5986,65,5374
-5986,65,5378
-5984,65,5376
-5982,65,5374
-5982,65,5378
-5986,66,5374
-5986,66,5378
-5984,66,5376
-5982,66,5374
-5982,66,5378
-5986,67,5374
-5986,67,5375
-5986,67,5376
-5986,67,5377
-5986,67,5378
-5985,67,5374
-5985,67,5378
-5984,67,5374
-5984,67,5378
-5983,67,5374
-5983,67,5378
-5982,67,5374
-5982,67,5375
-5982,67,5376
-5982,67,5377
-5982,67,5378
-5986,68,5374
-5986,68,5378
-5984,68,5376
-5982,68,5374
-5982,68,5378
-5986,69,5374
-5986,69,5378
-5984,69,5376
-5982,69,5374
-5982,69,5378
-5986,70,5374
-5986,70,5378
-5984,70,5376
-5982,70,5374
-5982,70,5378
-5986,71,5374
-5986,71,5378
-5984,71,5376
-5982,71,5374
-5982,71,5378
-5986,72,5374
-5986,72,5375
-5986,72,5376
-5986,72,5377
-5986,72,5378
-5985,72,5374
-5985,72,5378
-5984,72,5374
-5984,72,5378
-5983,72,5374
-5983,72,5378
-5982,72,5374
-5982,72,5375
-5982,72,5376
-5982,72,5377
-5982,72,5378
-5986,73,5374
-5986,73,5378
-5984,73,5376
-5982,73,5374
-5982,73,5378
-5986,74,5374
-5986,74,5378
-5984,74,5376
-5982,74,5374
-5982,74,5378
-5986,75,5374
-5986,75,5378
-5984,75,5376
-5982,75,5374
-5982,75,5378
-5986,76,5374
-5986,76,5378
-5984,76,5376
-5982,76,5374
-5982,76,5378
-5986,77,5374
-5986,77,5375
-5986,77,5376
-5986,77,5377
-5986,77,5378
-5985,77,5374
-5985,77,5375
-5985,77,5376
-5985,77,5377
-5985,77,5378
-5984,77,5374
-5984,77,5375
-5984,77,5376
-5984,77,5378
-5983,77,5374
-5983,77,5375
-5983,77,5376
-5983,77,5377
-5983,77,5378
-5982,77,5374
-5982,77,5375
-5982,77,5376
-5982,77,5377
-5982,77,5378
-5986,78,5374
-5986,78,5375
-5986,78,5376
-5986,78,5377
-5986,78,5378
-5985,78,5374
-5985,78,5378
-5984,78,5374
-5983,78,5374
-5983,78,5378
-5982,78,5374
-5982,78,5375
-5982,78,5376
-5982,78,5377
-5982,78,5378
-5986,79,5374
-5986,79,5375
-5986,79,5377
-5986,79,5378
-5985,79,5374
-5985,79,5378
-5983,79,5374
-5983,79,5378
-5982,79,5374
-5982,79,5375
-5982,79,5377
-5982,79,5378
-5986,80,5374
-5986,80,5375
-5986,80,5376
-5986,80,5377
-5986,80,5378
-5985,80,5374
-5985,80,5378
-5984,80,5374
-5984,80,5378
-5983,80,5374
-5983,80,5378
-5982,80,5374
-5982,80,5375
-5982,80,5376
-5982,80,5377
-5982,80,5378
-5986,81,5374
-5986,81,5375
-5986,81,5376
-5986,81,5377
-5986,81,5378
-5985,81,5374
-5985,81,5378
-5984,81,5374
-5984,81,5378
-5983,81,5374
-5983,81,5378
-5982,81,5374
-5982,81,5375
-5982,81,5376
-5982,81,5377
-5982,81,5378
-5985,82,5374
-5985,82,5375
-5985,82,5378
-5984,82,5374
-5984,82,5375
-5984,82,5376
-5984,82,5378
-5983,82,5374
-5983,82,5375
